M6P,West Toronto,High Park
M1C,Scarborough,Highland Creek
M2H,North York,Hillcrest Village
M8Y,Etobicoke,Humber Bay
M8V,Etobicoke,Humber Bay Shores
M9L,North York,Humber Summit
M9V,Etobicoke,Humbergate
M9M,North York,Humberlea
M6C,York,Humewood-Cedarvale
M4L,East Toronto,India Bazaar
M1K,Scarborough,Ionview
M5V,Downtown Toronto,Island airport
M9B,Etobicoke,Islington
M9A,Etobicoke,Islington Avenue
M9V,Etobicoke,Jamestown
M6M,York,Keelesdale
M1K,Scarborough,Kennedy Park
M5T,Downtown Toronto,Kensington Market
M5H,Downtown Toronto,King
M5V,Downtown Toronto,King and Spadina
M8Y,Etobicoke,King's Mill Park
M9R,Etobicoke,Kingsview Village
M8Y,Etobicoke,Kingsway Park South East
M8Z,Etobicoke,Kingsway Park South West
M1V,Scarborough,L'Amoreaux East
M1W,Scarborough,L'Amoreaux West
M6A,North York,Lawrence Heights
M6A,North York,Lawrence Manor
M5M,North York,Lawrence Manor East
M4N,Central Toronto,Lawrence Park
M4G,East York,Leaside
M6J,West Toronto,Little Portugal
M8W,Etobicoke,Long Branch
M1B,Scarborough,Malvern
M6L,North York,Maple Leaf Park
M9C,Etobicoke,Markland Wood
M9B,Etobicoke,Martin Grove
M9R,Etobicoke,Martin Grove Gardens
M1R,Scarborough,Maryvale
M1V,Scarborough,Milliken
M8Y,Etobicoke,Mimico NE
M8Z,Etobicoke,Mimico NW
M8V,Etobicoke,Mimico South
M8X,Etobicoke,Montgomery Road
M4T,Central Toronto,Moore Park
M1E,Scarborough,Morningside
M6M,York,Mount Dennis
M9V,Etobicoke,Mount Olive
M8V,Etobicoke,New Toronto
M2M,North York,Newtonbrook
M5R,Central Toronto,North Midtown
M6L,North York,North Park
M4R,Central Toronto,North Toronto West
M9W,Etobicoke,Northwest
M3J,North York,Northwood Park
M7A,Queen's Park,Not assigned
M1L,Scarborough,Oakridge
M9C,Etobicoke,Old Burnhamthorpe
M8X,Etobicoke,Old Mill North
M8Y,Etobicoke,Old Mill South
M2J,North York,Oriole
M6R,West Toronto,Parkdale
M6K,West Toronto,Parkdale Village
M4B,East York,Parkview Hill
M3A,North York,Parkwoods
M1C,Scarborough,Port Union
M9B,Etobicoke,Princess Gardens
M5V,Downtown Toronto,Railway Lands
M4V,Central Toronto,Rathnelly
M5A,Downtown Toronto,Regent Park
M5H,Downtown Toronto,Richmond
M9R,Etobicoke,Richview Gardens
M4K,East Toronto,Riverdale
M6R,West Toronto,Roncesvalles
M4W,Downtown Toronto,Rosedale
M5N,Central Toronto,Roselawn
M1B,Scarborough,Rouge
M1C,Scarborough,Rouge Hill
M8Y,Etobicoke,Royal York South East
M8Z,Etobicoke,Royal York South West
M6N,York,Runnymede
M6S,West Toronto,Runnymede
M5B,Downtown Toronto,Ryerson
M1P,Scarborough,Scarborough Town Centre
M1J,Scarborough,Scarborough Village
M1M,Scarborough,Scarborough Village West
M2L,North York,Silver Hills
M9V,Etobicoke,Silverstone
M6M,York,Silverthorn
M4V,Central Toronto,South Hill
M5V,Downtown Toronto,South Niagara
M8Z,Etobicoke,South of Bloor
M9V,Etobicoke,South Steeles
M5C,Downtown Toronto,St. James Town
M4X,Downtown Toronto,St. James Town
M9R,Etobicoke,St. Phillips
M1V,Scarborough,Steeles East
M1W,Scarborough,Steeles West
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade
M4M,East Toronto,Studio District
M1T,Scarborough,Sullivan
M4T,Central Toronto,Summerhill East
M4V,Central Toronto,Summerhill West
M8Y,Etobicoke,Sunnylea
M6S,West Toronto,Swansea
M1T,Scarborough,Tam O'Shanter
M5R,Central Toronto,The Annex
M4E,East Toronto,The Beaches
M4L,East Toronto,The Beaches West
M4K,East Toronto,The Danforth West
M6N,York,The Junction North
M6P,West Toronto,The Junction South
M8X,Etobicoke,The Kingsway
M8Y,Etobicoke,The Queensway East
M8Z,Etobicoke,The Queensway West
M9V,Etobicoke,Thistletown
M4H,East York,Thorncliffe Park
M5K,Downtown Toronto,Toronto Dominion Centre
M5J,Downtown Toronto,Toronto Islands
M6J,West Toronto,Trinity
M5X,Downtown Toronto,Underground city
M5J,Downtown Toronto,Union Station
M5S,Downtown Toronto,University of Toronto
M1X,Scarborough,Upper Rouge
M6L,North York,Upwood Park
M5L,Downtown Toronto,Victoria Hotel
M4A,North York,Victoria Village
M9B,Etobicoke,West Deane Park
M1E,Scarborough,West Hill
M9P,Etobicoke,Westmount
M9N,York,Weston
M1R,Scarborough,Wexford
M1P,Scarborough,Wexford Heights
M2M,North York,Willowdale
M2N,North York,Willowdale South
M2R,North York,Willowdale West
M3H,North York,Wilson Heights
M1G,Scarborough,Woburn
M4B,East York,Woodbine Gardens
M4C,East York,Woodbine Heights
M2L,North York,York Mills
M2P,North York,York Mills West
M3J,North York,York University
M5R,Central Toronto,Yorkville
